127.0.0.1 - - [24/Jul/2018:16:06:28 +0530] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [24/Jul/2018:16:06:30 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:30 +0530] "GET /LetsTalkFrontend/resources/js/RouteConfig.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_blog/BlogController.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_chat/ChatController.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_chat/ChatService.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_friend/FriendController.js HTTP/1.1" 200 4486
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:31 +0530] "GET /LetsTalkFrontend/c_job/JobController.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:33 +0530] "GET /LetsTalkFrontend/Home.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jul/2018:16:06:33 +0530] "GET /LetsTalkMiddleware/getImage/%7B%7BcurrentUser.emailID%7D%7D. HTTP/1.1" 200 -
127.0.0.1 - - [24/Jul/2018:16:06:34 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:33 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:33 +0530] "GET /LetsTalkFrontend/c_user/MyController.js HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:33 +0530] "GET /LetsTalkFrontend/c_chat/ChatController.js HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:33 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:34 +0530] "GET /LetsTalkFrontend/resources/img/logo.jpg HTTP/1.1" 200 48973
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:34 +0530] "GET /LetsTalkFrontend/resources/js/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:34 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:16:17:34 +0530] "GET /LetsTalkFrontend/c_blog/BlogController.js HTTP/1.1" 304 -
