127.0.0.1 - - [30/Jul/2018:09:31:01 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/resources/js/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:02 +0530] "GET /LetsTalkFrontend/c_friend/FriendController.js HTTP/1.1" 200 5480
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:04 +0530] "GET /LetsTalkFrontend/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:04 +0530] "GET /LetsTalkMiddleware/getImage/%7B%7BcurrentUser.emailID%7D%7D. HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:31:05 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/resources/js/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:04 +0530] "GET /LetsTalkFrontend/c_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:05 +0530] "GET /LetsTalkMiddleware/getImage/%7B%7BcurrentUser.emailID%7D%7D. HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:06 +0530] "GET /LetsTalkFrontend/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:06 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:06 +0530] "GET /LetsTalkFrontend/resources/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:34:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:35:34 +0530] "POST /LetsTalkMiddleware/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:35:55 +0530] "GET /LetsTalkMiddleware/getImage/amit@LT.COM. HTTP/1.1" 200 427221
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:16 +0530] "GET /LetsTalkMiddleware/listApprovedBlogs HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:24 +0530] "GET /LetsTalkFrontend/c_chat/chat.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:24 +0530] "GET //LetsTalkMiddleware/chat/info?t=1532923584136 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:24 +0530] "GET //LetsTalkMiddleware/chat/187/gj3qvgph/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:30 +0530] "GET /LetsTalkFrontend/c_job/showAppliedJobs.html HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:30 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:30 +0530] "GET /LetsTalkMiddleware/listAppliedJobs/amit@LT.COM. HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:33 +0530] "GET /LetsTalkFrontend/c_job/showAllJob.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:33 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [30/Jul/2018:09:36:33 +0530] "GET /LetsTalkMiddleware//listAllJobs HTTP/1.1" 200 899
